user_id,datetime,contest_id,old_rate,new_rate,perf
yamama,1615719600.0,ahc001,0,237,1190
magurofly,1615719600.0,ahc001,0,235,1188
HoyHoyCharhang,1615719600.0,ahc001,0,237,1191
yama2019,1615719600.0,ahc001,0,241,1197
UMRgurashi,1615719600.0,ahc001,0,236,1189
ao1415,1615719600.0,ahc001,0,241,1197
push,1615719600.0,ahc001,0,245,1204
T_Stream,1615719600.0,ahc001,0,227,1173
lemondo,1615719600.0,ahc001,0,315,1304
Trineutron,1615719600.0,ahc001,0,283,1262
kacho65535,1615719600.0,ahc001,0,288,1268
kuroky,1615719600.0,ahc001,0,315,1305
mamekin,1615719600.0,ahc001,0,361,1359
penguinman,1615719600.0,ahc001,0,340,1335
darnley,1615719600.0,ahc001,0,280,1257
torisasami,1615719600.0,ahc001,0,331,1324
sujin2010,1615719600.0,ahc001,0,336,1330
matsu7874,1615719600.0,ahc001,0,329,1322
i8fbnkyw,1615719600.0,ahc001,0,317,1307
ransewhale,1615719600.0,ahc001,0,341,1336
misinnosakana,1615719600.0,ahc001,0,356,1353
puyopop,1615719600.0,ahc001,0,335,1329
ntk_ta01,1615719600.0,ahc001,0,325,1317
keroru,1615719600.0,ahc001,0,332,1325
Denisov,1615719600.0,ahc001,0,157,1027
serhatgiydiren,1615719600.0,ahc001,0,337,1332
Hum1060,1615719600.0,ahc001,0,321,1312
ytkn,1615719600.0,ahc001,0,327,1320
Nakamura21,1615719600.0,ahc001,0,319,1310
nhho,1615719600.0,ahc001,0,327,1319
Hachimori,1615719600.0,ahc001,0,337,1331
v2n,1615719600.0,ahc001,0,326,1318
m_99,1615719600.0,ahc001,0,349,1345
tada,1615719600.0,ahc001,0,343,1339
kohei2019,1615719600.0,ahc001,0,146,996
kemkemG0,1615719600.0,ahc001,0,333,1327
q_va,1615719600.0,ahc001,0,767,1767
mitsui321,1615719600.0,ahc001,0,176,1071
X_Drake,1615719600.0,ahc001,0,145,993
vincentpikachu20,1615719600.0,ahc001,0,257,1223
ixex,1615719600.0,ahc001,0,358,1356
j_gui0121,1615719600.0,ahc001,0,142,986
zkou,1615719600.0,ahc001,0,355,1352
yuruhiya,1615719600.0,ahc001,0,343,1338
tirol30,1615719600.0,ahc001,0,354,1351
kotet,1615719600.0,ahc001,0,338,1333
mikanalpha,1615719600.0,ahc001,0,352,1349
FalVy,1615719600.0,ahc001,0,351,1348
vistoron15,1615719600.0,ahc001,0,350,1347
shogo314,1615719600.0,ahc001,0,346,1342
Motsu_xe,1615719600.0,ahc001,0,348,1344
H3PO4,1615719600.0,ahc001,0,347,1343
monochro,1615719600.0,ahc001,0,345,1341
kzyKT,1615719600.0,ahc001,0,344,1340
ishi,1615719600.0,ahc001,0,353,1350
side,1615719600.0,ahc001,0,283,1261
kabipoyo,1615719600.0,ahc001,0,334,1328
Lesboar,1615719600.0,ahc001,0,313,1302
rapirapi,1615719600.0,ahc001,0,223,1167
kencho,1615719600.0,ahc001,0,299,1284
hashiya8,1615719600.0,ahc001,0,290,1271
y61mpnl,1615719600.0,ahc001,0,296,1279
mitsunoir,1615719600.0,ahc001,0,288,1269
flour814,1615719600.0,ahc001,0,311,1299
takumat,1615719600.0,ahc001,0,287,1267
boutarou,1615719600.0,ahc001,0,292,1274
nanbito,1615719600.0,ahc001,0,285,1264
nikuroll,1615719600.0,ahc001,0,319,1309
yatabis,1615719600.0,ahc001,0,291,1273
issan,1615719600.0,ahc001,0,220,1160
G00DCOD3R,1615719600.0,ahc001,0,289,1270
moririn2528,1615719600.0,ahc001,0,330,1323
aquaCpp,1615719600.0,ahc001,0,286,1266
roaris,1615719600.0,ahc001,0,222,1165
unaunagi,1615719600.0,ahc001,0,295,1278
tsuyu93,1615719600.0,ahc001,0,324,1316
keserasera_77,1615719600.0,ahc001,0,284,1263
RectangularRaven,1615719600.0,ahc001,0,294,1277
seaca,1615719600.0,ahc001,0,290,1272
merom686,1615719600.0,ahc001,0,323,1314
qaz0421,1615719600.0,ahc001,0,306,1293
tomo_1,1615719600.0,ahc001,0,302,1287
PineG,1615719600.0,ahc001,0,322,1313
DFNasutarou,1615719600.0,ahc001,0,320,1311
chomonolis,1615719600.0,ahc001,0,308,1296
Doneru,1615719600.0,ahc001,0,299,1283
sugyan,1615719600.0,ahc001,0,307,1294
s1010,1615719600.0,ahc001,0,304,1290
petite_prog,1615719600.0,ahc001,0,305,1292
kumatako,1615719600.0,ahc001,0,293,1275
takytank,1615719600.0,ahc001,0,303,1289
