python_rate,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
00%+,299.013884185574,253.2495496019062,224.52215036378334,206.88507702485586,192.22674338000832,164.04012519561815,144.5275008253549,126.62370880472209,106.42958446550467,78.66501205502766,52.37753730340099,26.71126710628944,6.402395892755277
10%+,564.7793296089385,469.9138276553106,421.6813880126183,414.20973782771534,368.94358974358977,301.88739946380696,282.3617886178862,241.0311111111111,212.68,170.2034632034632,106.10982658959537,48.49315068493151,20.369565217391305
20%+,522.1440329218107,472.3349282296651,424.77290836653384,393.9894736842105,356.78909090909093,320.2730375426621,270.6847290640394,233.6216216216216,179.52093023255813,151.683908045977,95.40287769784173,46.92248062015504,13.818181818181818
30%+,570.5733333333334,487.6401179941003,408.2713567839196,393.496644295302,362.9134199134199,318.8715953307393,254.432,232.34722222222223,170.77464788732394,138.83132530120483,85.74166666666666,39.61363636363637,11.76271186440678
40%+,578.0882352941177,494.6978417266187,459.5104895104895,406.52054794520546,381.2303664921466,344.0487804878049,266.94029850746267,242.33009708737865,176.86614173228347,147.47445255474452,112.71084337349397,49.53164556962025,14.575
50%+,531.6697247706422,400.994301994302,371.9398907103825,332.195530726257,332.2251082251082,303.07894736842104,215.06842105263158,193.21511627906978,142.96815286624204,111.14659685863874,83.3623188405797,41.856,8.126760563380282
60%+,512.6860986547085,444.9946949602122,362.93333333333334,368.72,351.01869158878503,313.6068376068376,246.1290322580645,163.4031007751938,150.77848101265823,136.125,76.00813008130082,45.30909090909091,10.51063829787234
70%+,506.05150214592277,443.2028985507246,389.68390804597703,405.64179104477614,330.3223140495868,248.6192468619247,223.98657718120805,228.57391304347826,165.02189781021897,135.27586206896552,94.12295081967213,53.162393162393165,14.235294117647058
80%+,489.6732673267327,400.6498905908096,342.29017857142856,323.8728323699422,333.2556634304207,259.17210682492583,247.84065934065933,208.32704402515722,142.86010362694302,137.08695652173913,87.67213114754098,47.36486486486486,14.037037037037036
90%+,192.6223678053346,162.3799383580835,135.56059918293238,129.96351931330472,108.99550484094053,108.73584905660377,82.27173396674584,85.53518029903255,53.10978520286396,56.97750167897918,40.767828200972446,19.432242990654206,5.499394673123486
